id,duration,start_date,start_station,end_date,end_station,bike_number,sub_type,zip_code,birth_date,gender
141,1044,"2011-07-28 15:42:00",42,"2011-07-28 15:59:00",42,B00042,Casual,"","",""
142,946,"2011-07-28 15:51:00",33,"2011-07-28 16:07:00",36,B00385,Registered,"'01545",1965.0,Male
143,731,"2011-07-28 15:51:00",40,"2011-07-28 16:03:00",22,B00514,Registered,"'02139",1986.0,Male
145,331,"2011-07-28 15:55:00",9,"2011-07-28 16:01:00",9,B00159,Casual,"","",""
146,386,"2011-07-28 15:55:00",24,"2011-07-28 16:01:00",48,B00082,Registered,"'02113",1986.0,Male
147,395,"2011-07-28 15:57:00",5,"2011-07-28 16:03:00",21,B00401,Registered,"'02215",1962.0,Male
148,232,"2011-07-28 16:01:00",35,"2011-07-28 16:05:00",48,B00196,Casual,"","",""
149,1063,"2011-07-28 16:03:00",42,"2011-07-28 16:21:00",5,B00042,Casual,"","",""
150,3156,"2011-07-28 16:03:00",49,"2011-07-28 16:56:00",24,B00426,Casual,"","",""
151,604,"2011-07-28 16:04:00",38,"2011-07-28 16:14:00",23,B00469,Casual,"","",""
152,635,"2011-07-28 16:05:00",10,"2011-07-28 16:16:00",36,B00231,Registered,"'02127",1968.0,Male
153,211,"2011-07-28 16:06:00",23,"2011-07-28 16:09:00",6,B00111,Registered,"'02114",1966.0,Male
154,722,"2011-07-28 16:08:00",22,"2011-07-28 16:20:00",24,B00462,Registered,"'02139",1986.0,Male
155,2605,"2011-07-28 16:12:00",49,"2011-07-28 16:55:00",24,B00246,Casual,"","",""
156,157,"2011-07-28 16:13:00",23,"2011-07-28 16:16:00",23,B00546,Registered,"'02130",1982.0,Female
157,158,"2011-07-28 16:15:00",3,"2011-07-28 16:18:00",14,B00190,Registered,"'02109",1987.0,Female
158,371,"2011-07-28 16:18:00",44,"2011-07-28 16:24:00",38,B00442,Casual,"","",""
159,423,"2011-07-28 16:17:00",22,"2011-07-28 16:24:00",44,B00472,Registered,"'02351",1978.0,Male
160,2951,"2011-07-28 16:19:00",12,"2011-07-28 17:10:00",12,B00120,Casual,"","",""
161,1003,"2011-07-28 16:18:00",22,"2011-07-28 16:35:00",38,B00464,Registered,"'01944",1982.0,Female
162,2946,"2011-07-28 16:21:00",12,"2011-07-28 17:10:00",12,B00095,Casual,"","",""
163,753,"2011-07-28 16:22:00",38,"2011-07-28 16:34:00",42,B00016,Registered,"'02144",1986.0,Male
165,1143,"2011-07-28 16:23:00",22,"2011-07-28 16:42:00",31,B00350,Registered,"'02144",1978.0,Male
166,4363,"2011-07-28 16:27:00",16,"2011-07-28 17:39:00",16,B00465,Casual,"","",""
167,1474,"2011-07-28 16:29:00",48,"2011-07-28 16:54:00",30,B00174,Casual,"","",""
169,330,"2011-07-28 16:34:00",42,"2011-07-28 16:40:00",16,B00353,Registered,"'02116",1979.0,Male
170,1485,"2011-07-28 16:36:00",38,"2011-07-28 17:01:00",32,B00187,Registered,"'02131",1967.0,Male
171,1740,"2011-07-28 16:37:00",39,"2011-07-28 17:06:00",24,B00034,Casual,"","",""
172,1642,"2011-07-28 16:36:00",47,"2011-07-28 17:04:00",33,B00223,Casual,"","",""
173,233,"2011-07-28 16:38:00",44,"2011-07-28 16:42:00",38,B00151,Registered,"'01719",1971.0,Male
174,2514,"2011-07-28 16:42:00",10,"2011-07-28 17:24:00",24,B00240,Casual,"","",""
175,2515,"2011-07-28 16:42:00",10,"2011-07-28 17:24:00",24,B00057,Casual,"","",""
176,627,"2011-07-28 16:42:00",3,"2011-07-28 16:52:00",16,B00002,Registered,"'02038",1974.0,Male
177,1616,"2011-07-28 16:44:00",44,"2011-07-28 17:11:00",38,B00474,Casual,"","",""
178,1240,"2011-07-28 16:44:00",36,"2011-07-28 17:05:00",36,B00385,Registered,"'02138",1947.0,Female
179,1577,"2011-07-28 16:45:00",44,"2011-07-28 17:11:00",38,B00013,Casual,"","",""
180,632,"2011-07-28 16:46:00",24,"2011-07-28 16:57:00",38,B00462,Casual,"","",""
181,413,"2011-07-28 16:48:00",22,"2011-07-28 16:55:00",40,B00275,Registered,"'02109",1987.0,Male
182,491,"2011-07-28 16:52:00",43,"2011-07-28 17:00:00",22,B00069,Registered,"'02360",1969.0,Female
183,695,"2011-07-28 16:54:00",42,"2011-07-28 17:05:00",43,B00170,Registered,"'02025",1971.0,Male
184,589,"2011-07-28 16:56:00",22,"2011-07-28 17:05:00",49,B00137,Registered,"'01890",1978.0,Male
185,317,"2011-07-28 16:57:00",21,"2011-07-28 17:02:00",33,B00542,Casual,"","",""
186,515,"2011-07-28 16:57:00",40,"2011-07-28 17:05:00",38,B00275,Registered,"'01740",1957.0,Male
187,655,"2011-07-28 16:57:00",3,"2011-07-28 17:08:00",25,B00414,Registered,"'02118",1985.0,Male
189,590,"2011-07-28 17:00:00",44,"2011-07-28 17:10:00",22,B00487,Registered,"'02351",1978.0,Male
190,1841,"2011-07-28 17:04:00",48,"2011-07-28 17:35:00",46,B00505,Casual,"","",""
191,1105,"2011-07-28 17:03:00",10,"2011-07-28 17:21:00",12,B00406,Registered,"'02130",1980.0,Female
192,688,"2011-07-28 17:05:00",48,"2011-07-28 17:16:00",24,B00150,Registered,"'02143",1981.0,Male
193,856,"2011-07-28 17:06:00",10,"2011-07-28 17:20:00",8,B00310,Registered,"'02135",1966.0,Female
194,102,"2011-07-28 17:10:00",49,"2011-07-28 17:11:00",49,B00137,Registered,"'01890",1978.0,Male
195,1299,"2011-07-28 17:10:00",23,"2011-07-28 17:32:00",33,B00469,Registered,"'02446",1971.0,Male
196,1721,"2011-07-28 17:13:00",26,"2011-07-28 17:42:00",13,B00026,Casual,"","",""
197,1158,"2011-07-28 17:13:00",40,"2011-07-28 17:33:00",38,B00339,Casual,"","",""
198,1443,"2011-07-28 17:12:00",35,"2011-07-28 17:36:00",33,B00215,Registered,"'02115",1988.0,Male
199,723,"2011-07-28 17:13:00",49,"2011-07-28 17:25:00",38,B00137,Registered,"'01890",1978.0,Male
200,758,"2011-07-28 17:13:00",39,"2011-07-28 17:25:00",22,B00040,Registered,"'02143",1981.0,Male
201,1425,"2011-07-28 17:16:00",9,"2011-07-28 17:40:00",9,B00329,Casual,"","",""
202,526,"2011-07-28 17:15:00",6,"2011-07-28 17:23:00",44,B00111,Registered,"'02114",1970.0,Male
203,1429,"2011-07-28 17:16:00",5,"2011-07-28 17:40:00",40,B00312,Casual,"","",""
